ID,Node Sensor Number,Name,North-South Street,East-West Street,Intersection Details,Location Type,Category,Notes,Status,Latitude,Longitude,Location
26,01D,"Damen Ave  & Cermak Rd, Chicago, IL",Damen Ave,Cermak Rd,SEX,Pilsen and Stevensen Transect -AQ,Urban Air Quality and Health Education,Single node with PM,Live,41.85249,-87.67605,"(41.8524932, -87.6760483)"
11,O2F,"Sheridan Rd  & Granville Ave, Chicago, IL",Sheridan Rd,Granville Ave,,Lakeshore,Urban Impact on Climate & Weather,,Live,41.99462,-87.65557,"(41.9946167, -87.6555716)"
67,77,"Martin Luther King Dr. & 35th St., Chicago, IL",Martin Luther King Dr.,35th St.,,,COMPASS Study,,Live,41.83110,-87.61697,"(41.8311, -87.616967)"
41,04D,"Leavitt St  & Milwaukee Ave, Chicago, IL",Leavitt St,Milwaukee Ave,,CDOT Placemaking Project,Urban Placemaking,,Live,41.91409,-87.68302,"(41.9140942, -87.683022)"
3,,"Clark St  & Randolph St, Chicago, IL",Clark St,Randolph St,SWX,E-W transects,Urban Impact on Climate & Weather,,Planned,41.88443,-87.63101,"(41.8844274, -87.6310059)"
4,0A6,"Wells St & Washington Blvd, Chicago, IL",Wells St,Washington Blvd,SEX,Downtown and Federal Campus (GSA),Urban Vehicle and Pedestrian Flow,,Live,41.88323,-87.63607,"(41.8832317, -87.6360652)"
72,92,"Kedzie Ave. & 51st St., Chicago, IL",Kedzie Ave.,51st St.,,,COMPASS Study,,Live,41.80082,-87.70377,"(41.800821, -87.703766)"
37,O39,"Campbell Ave & Addison St, Chicago, IL",Campbell Ave,Addison St,,Other-Education-Partners,Urban Air Quality and Health Education,,Live,41.94672,-87.69287,"(41.946724, -87.692869)"
31,0AA,"Dearborn St  & Lake St, Chicago, IL",Dearborn St,Lake St,,Downtown and Federal Campus (GSA),Urban Vehicle and Pedestrian Flow,,Live,41.88575,-87.63170,"(41.8857494, -87.6316961)"
40,O34,"Milwaukee Ave  & Wabansia Ave, Chicago, IL",Milwaukee Ave,Wabansia Ave,NWX,CDOT Placemaking Project,Urban Placemaking,,Live,41.91235,-87.68214,"(41.9123537, -87.6821423)"
5,0A7,"Upper Wacker Dr  & Randolph St, Chicago, IL",Upper Wacker Dr,Randolph St,,E-W transects,Urban Impact on Climate & Weather,,Live,41.88442,-87.63675,"(41.8844154, -87.6367539)"
68,010,"Homan Ave. & Roosevelt Rd., Chicago, IL",Homan Ave.,Roosevelt Rd.,SWX,,COMPASS Study,,Live,41.86635,-87.71054,"(41.866349, -87.710543)"
73,97,"Pulaski Rd. & 71st St., Chicago, IL",Pulaski Rd.,71st St.,,,COMPASS Study,,Live,41.76410,-87.72236,"(41.7641, -87.722355)"
62,,"California Ave. & Devon Ave., Chicago, IL",California Ave.,Devon Ave.,,,COMPASS Study,,Planned,41.99756,-87.69964,"(41.997561, -87.699642)"
74,0A1,"Halsted St. & 99th St., Chicago, IL",Halsted St.,99th St.,SEX,,COMPASS Study,,Live,41.71421,-87.64300,"(41.714214, -87.643003)"
23,04C,"Western Ave  & 25th St, Chicago, IL",Western Ave,25th St,NWX,Pilsen and Stevensen Transect -AQ,Urban Air Quality and Health Education,,Live,41.84651,-87.68563,"(41.8465072, -87.6856291)"
39,75,"Milwaukee Ave & Wood St, Chicago, IL",Milwaukee Ave,Wood St,,CDOT Placemaking Project,Urban Placemaking,,Live,41.90722,-87.67469,"(41.9072229, -87.6746905)"
56,89,"Chicago Ave. & Noble St., Chicago, IL",Chicago Ave.,Noble St.,,,Vision Zero - Other High Crash Locations,,Live,41.89615,-87.66240,"(41.89615, -87.662405)"
13,00A,"Lake Shore Drive  & Fullerton Ave, Chicago, IL",Lake Shore Drive,Fullerton Ave,NWX,Lakeshore,Urban Impact on Climate & Weather,,Live,41.92626,-87.63076,"(41.9262614, -87.6307578)"
24,O28,"Western Blvd  & 35th St, Chicago, IL",Western Blvd,35th St,NWX,Pilsen and Stevensen Transect -AQ,Urban Air Quality and Health Education,"single node with PM. ?Ã­Ã§Upwind of highway for measuring ""Before"" air that moves in to Pilsen.",Live,41.83038,-87.68486,"(41.8303847, -87.684862)"
44,8D,"Cicero Ave. & Chicago Ave., Chicago, IL",Cicero Ave.,Chicago Ave.,,,Vision Zero - Pedestrian High Crash Intersection,,Live,41.89500,-87.74581,"(41.895004, -87.745807)"
90,48,"Damen Ave. & Webster, Chicago, IL",Damen Ave.,Webster,Kennedy Expy,,Public Health Air Quality Bloomberg Project,,Live,41.92140,-87.67775,"(41.921398, -87.677752)"
35,004,"State St  & Jackson Blvd, Chicago, IL",State St,Jackson Blvd,NEX,Downtown and Federal Campus (GSA),Urban Vehicle and Pedestrian Flow,single node with PM,Live,41.87821,-87.62761,"(41.8782127, -87.6276075)"
